,customer_id,transaction_amount,transaction_date
0,1017,-0.0,14-01-2022 00:00:01.224489
1,1054,127.0,14-01-2022 04:59:37.063415
2,1023,115.0,14-01-2022 09:59:12.902342
3,1035,30.0,14-01-2022 14:58:48.741268
4,1059,-244.0,14-01-2022 19:58:24.580194
5,1031,-352.0,15-01-2022 00:58:00.419120
6,1009,149.0,15-01-2022 05:57:36.258046
7,1056,-209.0,15-01-2022 10:57:12.096973
8,1070,769.0,15-01-2022 15:56:47.935899
9,1012,36.0,15-01-2022 20:56:23.774825
10,1006,-170.0,16-01-2022 01:55:59.613751
11,1083,397.0,16-01-2022 06:55:35.452677
12,1069,593.0,16-01-2022 11:55:11.291603
13,1001,830.0,16-01-2022 16:54:47.130530
14,1011,297.0,16-01-2022 21:54:22.969456
15,1096,444.0,17-01-2022 02:53:58.808382
16,1030,-270.0,17-01-2022 07:53:34.647308
17,1021,-114.0,17-01-2022 12:53:10.486234
18,1052,-95.0,17-01-2022 17:52:46.325160
19,1062,107.0,17-01-2022 22:52:22.164087
20,1061,8.0,18-01-2022 03:51:58.003013
21,1027,-123.0,18-01-2022 08:51:33.841939
22,1051,150.0,18-01-2022 13:51:09.680865
23,1007,-127.0,18-01-2022 18:50:45.519791
24,1021,-434.0,18-01-2022 23:50:21.358717
25,1048,-469.0,19-01-2022 04:49:57.197644
26,1000,165.0,19-01-2022 09:49:33.036570
27,1049,-348.0,19-01-2022 14:49:08.875496
28,1033,231.0,19-01-2022 19:48:44.714422
29,1100,413.0,20-01-2022 00:48:20.553348
30,1100,-131.0,20-01-2022 05:47:56.392275
31,1058,-240.0,20-01-2022 10:47:32.231201
32,1036,389.0,20-01-2022 15:47:08.070127
33,1054,-199.0,20-01-2022 20:46:43.909053
34,1089,54.0,21-01-2022 01:46:19.747979
35,1093,-586.0,21-01-2022 06:45:55.586905
36,1100,-6.0,21-01-2022 11:45:31.425832
37,1071,-332.0,21-01-2022 16:45:07.264758
38,1084,68.0,21-01-2022 21:44:43.103684
39,1091,-17.0,22-01-2022 02:44:18.942610
40,1062,54.0,22-01-2022 07:43:54.781536
41,1019,80.0,22-01-2022 12:43:30.620462
42,1024,301.0,22-01-2022 17:43:06.459389
