customerid,birthdate,bank_account_type,bank_name,employment_status,education_level
1098,1982-01-06 00:00:00,Savings,FNB,Permanent,
1072,1983-04-10 00:00:00,Savings,Capitec Bank,Permanent,
1030,1982-08-09 00:00:00,Savings,Access Bank,Permanent,
1086,1991-11-08 00:00:00,Other,Capitec Bank,Permanent,Graduate
1032,1986-12-19 00:00:00,Savings,Capitec Bank,,
1001,1986-01-21 00:00:00,Savings,Capitec Bank,Permanent,
1047,1985-02-25 00:00:00,Other,Stanbic Bank,Unemployed,Graduate
1014,1986-04-15 00:00:00,Savings,Capitec Bank,Permanent,
1061,1985-09-29 00:00:00,Savings,FNB,Permanent,
1000,1973-10-10 00:00:00,Savings,Capitec Bank,,
1010,1994-12-11 00:00:00,Savings,FNB,,
1090,1992-01-23 00:00:00,Savings,Capitec Bank,Permanent,
1100,1992-02-24 00:00:00,Other,Capitec Bank,Permanent,Post-Graduate
1076,1986-07-28 00:00:00,Savings,Capitec Bank,,
1094,1992-09-04 00:00:00,Savings,Capitec Bank,Student,Graduate
1011,1970-07-19 00:00:00,Savings,Skye Bank,Permanent,
1005,1978-12-11 00:00:00,Savings,Capitec Bank,Permanent,
1063,1988-02-28 00:00:00,Savings,ABSA Bank,Permanent,
1082,1990-06-23 00:00:00,Savings,ABSA Bank,,
1046,1981-07-22 00:00:00,Savings,Capitec Bank,Permanent,
1071,1979-06-04 00:00:00,Other,ABSA Bank,Permanent,Graduate
1006,1990-07-21 00:00:00,Savings,Access Bank,Permanent,
1005,1978-12-11 00:00:00,Savings,Capitec Bank,Permanent,
1039,1979-10-10 00:00:00,Other,FNB,Permanent,Graduate
1033,1977-07-29 00:00:00,Current,Capitec Bank,Permanent,
1095,1995-02-12 00:00:00,Savings,Access Bank,Permanent,
1083,1987-09-13 00:00:00,Savings,Capitec Bank,Permanent,
1049,1979-07-01 00:00:00,Savings,FNB,Permanent,Secondary
1034,1987-10-07 00:00:00,Savings,Standard Bank,Permanent,
1050,1995-03-03 00:00:00,Savings,FNB,Student,
1036,1976-09-16 00:00:00,Savings,Access Bank,Permanent,
1037,1988-05-19 00:00:00,Other,Capitec Bank,Permanent,
1088,1990-03-19 00:00:00,Savings,Capitec Bank,Permanent,
1080,1987-07-01 00:00:00,Savings,FNB,Permanent,
1073,1985-01-18 00:00:00,Savings,Tyme Bank,Permanent,
1040,1976-06-27 00:00:00,Savings,ABSA Bank,Permanent,
1021,1988-01-19 00:00:00,Savings,ABSA Bank,Permanent,Graduate
1028,1993-09-06 00:00:00,Savings,Capitec Bank,Permanent,
1085,1973-02-26 00:00:00,Savings,Capitec Bank,,
