,customer_id,transaction_amount,transaction_date
0,1081,-0.0,14-12-2021 00:00:01.224489
1,1014,124.0,14-12-2021 04:59:37.063415
2,1003,-54.0,14-12-2021 09:59:12.902342
3,1094,410.0,14-12-2021 14:58:48.741268
4,1035,216.0,14-12-2021 19:58:24.580194
5,1031,515.0,15-12-2021 00:58:00.419120
6,1028,-302.0,15-12-2021 05:57:36.258046
7,1017,258.0,15-12-2021 10:57:12.096973
8,1094,269.0,15-12-2021 15:56:47.935899
9,1013,713.0,15-12-2021 20:56:23.774825
10,1086,458.0,16-12-2021 01:55:59.613751
11,1094,574.0,16-12-2021 06:55:35.452677
12,1069,13.0,16-12-2021 11:55:11.291603
13,1011,556.0,16-12-2021 16:54:47.130530
14,1075,-378.0,16-12-2021 21:54:22.969456
15,1054,611.0,17-12-2021 02:53:58.808382
16,1004,547.0,17-12-2021 07:53:34.647308
17,1003,-112.0,17-12-2021 12:53:10.486234
18,1011,245.0,17-12-2021 17:52:46.325160
19,1027,70.0,17-12-2021 22:52:22.164087
20,1029,-2.0,18-12-2021 03:51:58.003013
21,1064,-162.0,18-12-2021 08:51:33.841939
22,1077,-69.0,18-12-2021 13:51:09.680865
23,1003,135.0,18-12-2021 18:50:45.519791
24,1071,-63.0,18-12-2021 23:50:21.358717
25,1025,-290.0,19-12-2021 04:49:57.197644
26,1091,149.0,19-12-2021 09:49:33.036570
27,1083,-393.0,19-12-2021 14:49:08.875496
28,1089,478.0,19-12-2021 19:48:44.714422
29,1069,-973.0,20-12-2021 00:48:20.553348
30,1053,-971.0,20-12-2021 05:47:56.392275
31,1028,-38.0,20-12-2021 10:47:32.231201
32,1057,-487.0,20-12-2021 15:47:08.070127
33,1075,116.0,20-12-2021 20:46:43.909053
34,1035,-413.0,21-12-2021 01:46:19.747979
35,1000,185.0,21-12-2021 06:45:55.586905
36,1097,-410.0,21-12-2021 11:45:31.425832
37,1020,-43.0,21-12-2021 16:45:07.264758
38,1089,-188.0,21-12-2021 21:44:43.103684
39,1054,-41.0,22-12-2021 02:44:18.942610
40,1043,62.0,22-12-2021 07:43:54.781536
41,1035,-22.0,22-12-2021 12:43:30.620462
42,1019,-73.0,22-12-2021 17:43:06.459389
43,1027,141.0,22-12-2021 22:42:42.298315
44,1097,-112.0,23-12-2021 03:42:18.137241
45,1043,465.0,23-12-2021 08:41:53.976167
46,1013,505.0,23-12-2021 13:41:29.815093
47,1011,-465.0,23-12-2021 18:41:05.654019
48,1048,709.0,23-12-2021 23:40:41.492946
49,1012,163.0,24-12-2021 04:40:17.331872
50,1045,497.0,24-12-2021 09:39:53.170798
51,1044,-445.0,24-12-2021 14:39:29.009724
52,1077,-247.0,24-12-2021 19:39:04.848650
53,1033,203.0,25-12-2021 00:38:40.687577
54,1005,95.0,25-12-2021 05:38:16.526503
55,1093,-6.0,25-12-2021 10:37:52.365429
56,1058,-187.0,25-12-2021 15:37:28.204355
57,1068,-2.0,25-12-2021 20:37:04.043281
58,1015,127.0,26-12-2021 01:36:39.882207
59,1048,-12.0,26-12-2021 06:36:15.721134
60,1010,40.0,26-12-2021 11:35:51.560060
61,1070,-279.0,26-12-2021 16:35:27.398986
62,1037,-212.0,26-12-2021 21:35:03.237912
63,1080,203.0,27-12-2021 02:34:39.076838
64,1079,-407.0,27-12-2021 07:34:14.915764
65,1046,193.0,27-12-2021 12:33:50.754691
66,1073,210.0,27-12-2021 17:33:26.593617
67,1024,-804.0,27-12-2021 22:33:02.432543
68,1090,-466.0,28-12-2021 03:32:38.271469
69,1008,-625.0,28-12-2021 08:32:14.110395
70,1005,160.0,28-12-2021 13:31:49.949322
71,1084,-40.0,28-12-2021 18:31:25.788248
72,1029,-519.0,28-12-2021 23:31:01.627174
73,1098,-603.0,29-12-2021 04:30:37.466100
74,1037,-260.0,29-12-2021 09:30:13.305026
75,1010,39.0,29-12-2021 14:29:49.143952
76,1029,-274.0,29-12-2021 19:29:24.982879
77,1012,-305.0,30-12-2021 00:29:00.821805
78,1048,-138.0,30-12-2021 05:28:36.660731
79,1035,-1.0,30-12-2021 10:28:12.499657
80,1058,159.0,30-12-2021 15:27:48.338583
81,1081,44.0,30-12-2021 20:27:24.177509
82,1046,148.0,31-12-2021 01:27:00.016436
83,1020,525.0,31-12-2021 06:26:35.855362
84,1047,597.0,31-12-2021 11:26:11.694288
85,1045,217.0,31-12-2021 16:25:47.533214
86,1026,358.0,31-12-2021 21:25:23.372140
87,1085,536.0,01-01-2022 02:24:59.211066
88,1034,420.0,01-01-2022 07:24:35.049993
89,1089,-253.0,01-01-2022 12:24:10.888919
90,1087,7.0,01-01-2022 17:23:46.727845
91,1082,-38.0,01-01-2022 22:23:22.566771
92,1009,-323.0,02-01-2022 03:22:58.405697
93,1077,151.0,02-01-2022 08:22:34.244624
94,1081,-311.0,02-01-2022 13:22:10.083550
95,1021,391.0,02-01-2022 18:21:45.922476
96,1068,264.0,02-01-2022 23:21:21.761402
97,1093,-8.0,03-01-2022 04:20:57.600328
98,1031,78.0,03-01-2022 09:20:33.439254
99,1020,2.0,03-01-2022 14:20:09.278181
100,1059,100.0,03-01-2022 19:19:45.117107
101,1048,127.0,04-01-2022 00:19:20.956033
102,1034,-476.0,04-01-2022 05:18:56.794959
103,1081,-501.0,04-01-2022 10:18:32.633885
104,1088,284.0,04-01-2022 15:18:08.472811
105,1071,27.0,04-01-2022 20:17:44.311738
106,1028,332.0,05-01-2022 01:17:20.150664
107,1087,423.0,05-01-2022 06:16:55.989590
108,1041,-175.0,05-01-2022 11:16:31.828516
109,1098,354.0,05-01-2022 16:16:07.667442
110,1099,-538.0,05-01-2022 21:15:43.506368
111,1007,12.0,06-01-2022 02:15:19.345295
112,1029,-60.0,06-01-2022 07:14:55.184221
113,1004,-662.0,06-01-2022 12:14:31.023147
114,1040,-320.0,06-01-2022 17:14:06.862073
115,1051,32.0,06-01-2022 22:13:42.700999
116,1034,-228.0,07-01-2022 03:13:18.539926
117,1008,52.0,07-01-2022 08:12:54.378852
118,1027,-68.0,07-01-2022 13:12:30.217778
119,1072,60.0,07-01-2022 18:12:06.056704
120,1091,168.0,07-01-2022 23:11:41.895630
121,1040,186.0,08-01-2022 04:11:17.734556
122,1027,-2.0,08-01-2022 09:10:53.573483
123,1083,311.0,08-01-2022 14:10:29.412409
124,1063,258.0,08-01-2022 19:10:05.251335
125,1050,-96.0,09-01-2022 00:09:41.090261
126,1082,-287.0,09-01-2022 05:09:16.929187
127,1058,-296.0,09-01-2022 10:08:52.768113
128,1018,848.0,09-01-2022 15:08:28.607040
129,1033,380.0,09-01-2022 20:08:04.445966
130,1017,217.0,10-01-2022 01:07:40.284892
131,1031,334.0,10-01-2022 06:07:16.123818
132,1095,284.0,10-01-2022 11:06:51.962744
133,1071,335.0,10-01-2022 16:06:27.801671
134,1068,612.0,10-01-2022 21:06:03.640597
